dev_f1,dev_false_positive_rate,dev_precision,dev_recall,fusion_a,fusion_b,method,safe_allowed,safe_preferred,test_f1,test_false_positive_rate,test_precision,test_recall,top_k,use_fusion_logit,variant
0.9515235457063712,0.005253940455341506,0.9956521739130435,0.9111405835543767,1.5,0.5,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,3,True,stage2_bce
0.9501385041551247,0.0070052539404553416,0.9942028985507246,0.9098143236074271,1.5,1.0,stage1_stage2_logit_fusion,True,True,0.9430780042164442,0.013289036544850499,0.9882179675994109,0.9018817204301075,3,True,stage2_bce
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,2.0,0.0,stage1_stage2_logit_fusion,True,True,0.9547668754349339,0.011627906976744186,0.98989898989899,0.9220430107526881,3,True,stage2_bce
0.9507969507969508,0.005253940455341506,0.9956458635703919,0.9098143236074271,2.0,0.25,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,3,True,stage2_bce
0.9515235457063712,0.005253940455341506,0.9956521739130435,0.9111405835543767,2.0,0.5,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,3,True,stage2_bce
0.9501385041551247,0.0070052539404553416,0.9942028985507246,0.9098143236074271,2.0,1.0,stage1_stage2_logit_fusion,True,True,0.9430780042164442,0.013289036544850499,0.9882179675994109,0.9018817204301075,3,True,stage2_bce
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,0.5,0.0,stage1_stage2_logit_fusion,True,True,0.9547668754349339,0.011627906976744186,0.98989898989899,0.9220430107526881,5,True,stage2_bce
0.9501385041551247,0.0070052539404553416,0.9942028985507246,0.9098143236074271,0.5,0.25,stage1_stage2_logit_fusion,True,True,0.9430780042164442,0.013289036544850499,0.9882179675994109,0.9018817204301075,5,True,stage2_bce
0.948024948024948,0.008756567425569177,0.9927431059506531,0.9071618037135278,0.5,0.5,stage1_stage2_logit_fusion,True,True,0.9445614035087719,0.013289036544850499,0.9882525697503671,0.9045698924731183,5,True,stage2_bce
0.9450243562978429,0.0070052539404553416,0.9941434846266471,0.9005305039787799,0.5,1.0,stage1_stage2_logit_fusion,True,True,0.9343683839096683,0.018272425249169437,0.9836552748885586,0.8897849462365591,5,True,stage2_bce
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,1.0,0.0,stage1_stage2_logit_fusion,True,True,0.9547668754349339,0.011627906976744186,0.98989898989899,0.9220430107526881,5,True,stage2_bce
0.9515235457063712,0.005253940455341506,0.9956521739130435,0.9111405835543767,1.0,0.25,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,5,True,stage2_bce
0.9501385041551247,0.0070052539404553416,0.9942028985507246,0.9098143236074271,1.0,0.5,stage1_stage2_logit_fusion,True,True,0.9430780042164442,0.013289036544850499,0.9882179675994109,0.9018817204301075,5,True,stage2_bce
0.948024948024948,0.008756567425569177,0.9927431059506531,0.9071618037135278,1.0,1.0,stage1_stage2_logit_fusion,True,True,0.9445614035087719,0.013289036544850499,0.9882525697503671,0.9045698924731183,5,True,stage2_bce
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,1.5,0.0,stage1_stage2_logit_fusion,True,True,0.9547668754349339,0.011627906976744186,0.98989898989899,0.9220430107526881,5,True,stage2_bce
0.9515235457063712,0.005253940455341506,0.9956521739130435,0.9111405835543767,1.5,0.25,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,5,True,stage2_bce
0.9515235457063712,0.005253940455341506,0.9956521739130435,0.9111405835543767,1.5,0.5,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,5,True,stage2_bce
0.9501385041551247,0.0070052539404553416,0.9942028985507246,0.9098143236074271,1.5,1.0,stage1_stage2_logit_fusion,True,True,0.9430780042164442,0.013289036544850499,0.9882179675994109,0.9018817204301075,5,True,stage2_bce
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,2.0,0.0,stage1_stage2_logit_fusion,True,True,0.9547668754349339,0.011627906976744186,0.98989898989899,0.9220430107526881,5,True,stage2_bce
0.9507969507969508,0.005253940455341506,0.9956458635703919,0.9098143236074271,2.0,0.25,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,5,True,stage2_bce
0.9515235457063712,0.005253940455341506,0.9956521739130435,0.9111405835543767,2.0,0.5,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,5,True,stage2_bce
0.9501385041551247,0.0070052539404553416,0.9942028985507246,0.9098143236074271,2.0,1.0,stage1_stage2_logit_fusion,True,True,0.9430780042164442,0.013289036544850499,0.9882179675994109,0.9018817204301075,5,True,stage2_bce
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,0.5,0.0,stage1_stage2_logit_fusion,True,True,0.9547668754349339,0.011627906976744186,0.98989898989899,0.9220430107526881,8,True,stage2_bce
0.9501385041551247,0.0070052539404553416,0.9942028985507246,0.9098143236074271,0.5,0.25,stage1_stage2_logit_fusion,True,True,0.9430780042164442,0.013289036544850499,0.9882179675994109,0.9018817204301075,8,True,stage2_bce
0.948024948024948,0.008756567425569177,0.9927431059506531,0.9071618037135278,0.5,0.5,stage1_stage2_logit_fusion,True,True,0.9445614035087719,0.013289036544850499,0.9882525697503671,0.9045698924731183,8,True,stage2_bce
0.9450243562978429,0.0070052539404553416,0.9941434846266471,0.9005305039787799,0.5,1.0,stage1_stage2_logit_fusion,True,True,0.9343683839096683,0.018272425249169437,0.9836552748885586,0.8897849462365591,8,True,stage2_bce
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,1.0,0.0,stage1_stage2_logit_fusion,True,True,0.9547668754349339,0.011627906976744186,0.98989898989899,0.9220430107526881,8,True,stage2_bce
0.9515235457063712,0.005253940455341506,0.9956521739130435,0.9111405835543767,1.0,0.25,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,8,True,stage2_bce
0.9501385041551247,0.0070052539404553416,0.9942028985507246,0.9098143236074271,1.0,0.5,stage1_stage2_logit_fusion,True,True,0.9430780042164442,0.013289036544850499,0.9882179675994109,0.9018817204301075,8,True,stage2_bce
0.948024948024948,0.008756567425569177,0.9927431059506531,0.9071618037135278,1.0,1.0,stage1_stage2_logit_fusion,True,True,0.9445614035087719,0.013289036544850499,0.9882525697503671,0.9045698924731183,8,True,stage2_bce
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,1.5,0.0,stage1_stage2_logit_fusion,True,True,0.9547668754349339,0.011627906976744186,0.98989898989899,0.9220430107526881,8,True,stage2_bce
0.9515235457063712,0.005253940455341506,0.9956521739130435,0.9111405835543767,1.5,0.25,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,8,True,stage2_bce
0.9515235457063712,0.005253940455341506,0.9956521739130435,0.9111405835543767,1.5,0.5,stage1_stage2_logit_fusion,True,True,0.9429978888106967,0.011627906976744186,0.9896602658788775,0.9005376344086021,8,True,stage2_bce
0.9501385041551247,0.0070052539404553416,0.9942028985507246,0.9098143236074271,1.5,1.0,stage1_stage2_logit_fusion,True,True,0.9430780042164442,0.013289036544850499,0.9882179675994109,0.9018817204301075,8,True,stage2_bce
0.9672131147540984,0.0035026269702276708,0.9971830985915493,0.9389920424403183,2.0,0.0,stage1_stage2_logit_fusion,True,True,0.9547668754349339,0.011627906976744186,0.98989898989899,0.9220430107526881,8,True,stage2_bce
